Nom entreprise,Substance,Adresse Physique,Téléphone,Email
ENERGIE DISTRIBUTION SERVICES SUARL,,"VILLA 65, UNITE 21, PARCELLES ASSAINIES, Dakar, Sénégal 77 730 60 92",,tourefre@hotmail.fr
ENERGY AND MINING CORPORATION,,"Sacré-Cœur III, n° 9231 VDN, Dakar, Sénégal","2,21339E+11",
ENTREPRISE AFRICAINE DE TRAVAUX PUBLICS,,"Zone industrielle , Thiès, Sénégal",33 951 52 64,
ENTREPRISE AICHA,"sable de dune COMICO, Mermoz n° 36, Dakar, Sénégal",,77166 12 84,
ENTREPRISE AMADOU BOUSSO,,"Lot n°1156, Ndargoundao, Kaolack, Kaolack, Sénégal",77 532 70 70,
ENTREPRISE ASS,,"N°256, HLM GRAND YOFF, DAKAR, Sénégal",77 566 77 53,
ENTREPRISE BELAA,,"PARCELLE 7137, TOUBA PIKINE, DAKAR",,775 380 001 entreprisebelaa@yahoo.fr
ENTREPRISE BOUGAR DIOUF,"sable de dune Ndianda, Fatick, Sénégal",,,
"ENTREPRISE D’ETUDES DE REALISATION ET DE 
SUPERVISION",silicium,"Quartier carrière, Thiès, Thiès, Sénégal",33 951 00 25,
ENTREPRISE GENERALE D'EQUIPEMENTS SARL,"phosphate de 
chaux, 
substances 
connexes","zone industrielle derriere cemg canada, Guediawaye, 
Dakar, Sénégal",33 877 61 09,egesenegal@gmail.com
ENTREPRISE MAME NDIEGNE BTP SUARL,sable de dune,,77 589 97 96/ 77 533 00 86,eakseck@yahoo.fr
ENTREPRISE MAPATHE NDIOUCK,"phosphate de 
chaux","Km 7,5 Boulevard du centenaire, Dakar, 5628, Sénégal",33 832 68 95/ 33 832 17 96,emapathe@orange.sn
ETABLISSEMENT AMADOU DIALLO,"sable de dune Quartier Fass 3, Thiaroye Gare , Dakar, Sénégal",,77 558 22 44/ 76 326 41 43,
ETABLISSEMENT OUSMANE SOW,grès,"Bargny KIP, Dakar, Sénégal",77 646 19 84,
ETABLISSEMENT WI MARS,silicium,"22, Ouest Foire, Dakar",33 868 05 75,
ETS GASSAMA,"sable de dune 633, CITE BELVEDERE, Dakar , Dakar, 15939, Sénégal",,33 825 14 12/ 77 546 10 22,
ETS MAMADOU DIOP,"sable de dune Villa n°232, Golf Sud, Dakar, Sénégal",,77 639 56 98/ 78 141 12 72,
ETS MAMADOU DIOUF CISSE,or,"7321 Sicap Mermoz, Sénégal",,
ETS MOUBARAKA.SUARL,grès,"118, HLM, Hann Mariste, Dakar, Sénégal",77 638 76 17,
FUTURIS IMMOBILIER,silicium,"Mermoz , Pyrotechnique, Dakar, Dakar, 47487, Sénégal",70 925 68 58/ 77 373 29 32,futurisimmobilier@gmail.com
"G.I.E. "" Le Wourous""",or,"Quartier 11 Novembre, Mbour, 339573483 / 77953932, 
orpailleur@yahoo.fr, Thiès, BP 1022, Sénégal",,"2,2134E+11 orpailleur@yahoo.fr"
GADDE BISSIK PHOSPHATES OPERATIONS SARL,phosphate,"Lot 50 Bis Sotrac Mermoz, 14065 Dakar Peytavin, Sénégal",338602003,
GAYE SERIGNE ASS FALLE,"sable de dune Quartier Cheikh Anta , Diourbel, Sénégal",,765130901,
GAZAL CARRIERES,calcaire,"Km 9, Boulvard du centaire , Commune de Dakar, Dakar, 
Sénégal",33 832 91 40,
GB MINERAL SARL,or,"N°91, Cité Dialaye 1, Dakar, Sénégal",775254659,
GECAMINES GRANULATS,basalte,"5, Cité des Maristes, HANN, Dakar, Sénégal",338325780/ 339524243,
"GENERAL D'INGENIERIE ET DE TECHNOLOGIE 
(GENITEC)",sable de dune,"Lot n°8, Liberté VI Extension VDN, 3 étage Appt: gauche 
Imm. Marron en face Camp Pénal, Dakar, Sénégal",30 10 20 607,genitec_int@yahoo.fr
GENERAL SERVICES SARL,or,"93, Rue Galandou DIOUF, Dakar, Dakar, Sénégal",33 827 48 47,generalservices821@gmail.com
GENERAL TRANSPORT AND LOGISTICS SAS,,"Liberté 06 Nord, Liberté 6 Extension, Villa n° 167, Dakar, 
Sénégal",77 903 16 16,
GENERALE DE REALISATION ET D'EQUIPEMENT SARL,calcaire,"1380, HLM, Grand Yoff, Dakar, Sénégal",33 827 90 81,
GEO CONSULTING,"sable de dune 19, ITA, Hann Maristes, Dakar, 47203, Sénégal",,77 529 33 49,
GEO EXPLOIT SARL,or,"Yoff Lot TL8, Dakar, Sénégal",33 860 52 82/338424991,geoexploitdkr@gmail.com
GEOMINE CONSULT SUARL,or,"QUARTIER GOMBA N°9, KEDOUGOU, Sénégal/ BP 25670 
Dakar Fann",77 525 79 26/ 338691200,"cheikh_diop2000@yahoo.fr/ 
contact@geominworld.com"
GERIT SARL,,"Km 18 route de Rufisque , Dakar, BP 13280 , Sénégal",,
GH MINING,manganèse,"Pikine Tally Bou Mak, N°4009, DAKAR",,ghminingtl@gmail.com
GIE CARECIM,or,"Quartier Gomba N°9, 775257926",,
GIE DIOURA DE DIAKHA,or,"Samécouta, KEDOUGOU, Sénégal",77 339 63 25,
GIE DJIGUI,or,"QUARTIER MOSQUEE KEDOUGOU, Kédougou, Sénégal",,
GIE GARAGE SOUF,"sable de dune Mbour, quartier Santhie, Sénégal",,77 631 79 90,
GIE GOLD PLACER,or,"Basé à Tinkoto Bélédougou, Kédougou, Sénégal",,
GIE KEDOUGOU DENTAL,or,,774128953,
GIE SENEGAL KOM KOM PLUS,argile,,33 836 76 58,"giekomkomsenegalplus@gm
ail.com"
GLOBAL IMMO SENEGAL SARL,silicium,"villa n° 11 , Sacré Cœur, Dakar, Sénégal",33 821 79 21,
GOLD COAST,or,"Cité Avion, Dakar, Sénégal",771314470,
GOLDMINE BISINESS,or,"Quartier Dalaba, Kédougou, Sénégal",77 531 50 33,
GOUVERNANCE KEDOUGOU,,Kédougou,,
GOUVERNANCE THIES,,"Avenue Lat Dior, Escale Sud, Thies, BP: 179 A",33 939 54 00,gouvernancethies@yahoo.fr
GOUYE MBINDE CONCASSAGE SARL,silicium,"Touba Darou Tanzil, Diourbel, Sénégal",77 639 17 83,
G-PHOS S.A.U,"phosphate de 
chaux","Rue 3 x C - Immeuble 764A - Point E, Dakar, Sénégal",221 338 251 747,
GR.SL/AA,,,221 938 20 20,"Gouvernancesaintlouis@yahoo.f
r"
GRANDE COTE OPERATIONS SA,"mineraux 
lourds","Atryum Center, 2e étage, 6, Route de Ouakam, Face Lycée 
Français Jean Mermoz, Dakar, BP 16844, Sénégal",33 869 31 81,
GRAVILLONS MMS ET SITOR SA,calcaire,"Km 34, Route de Thies, Bargny, Dakar, 22, Sénégal",77 323 72 66/ 70 109 88 84,
GROUPE AKMG AFRIQUE,,"RUE Leo Frobenius x Av Cheikh Anta Diop, Immeuble 
Seydi Diamil fANN Résidence, DAKAR, Sénégal",338690871,
GROUPE MIMRAN,,,33 889 98 00,
GROUPE TOP HORIZON,,Sénégal,,301074545 grotop-horizon@sunumail.com
GROUPE TRAVAUX BUSINESS BALANCE D'OR,,"ALMADIES LOT N° 371, DAKAR, Sénégal",77 638 38 27,
GROUPEMENT D'ACHAT PHENIX,,"Dakar, BP 3003, Sénégal",338253104/ 301059697,phenixdakar@gmail.com
GROUPEMENT D'ENTREPRISE HOUAR-SINTRAM,,,"2,21338E+11",
"GROUPEMENT DES ANCIENS MILITAIRES ET 
PARAMILITAIRES DE KEDOUGOU",,KEDOUGOU,,
GROUPEMENT HOUAR-SINTRAM,,"HANN MARISTES II, VILLA N° Y 086, DAKAR, Sénégal","2,21338E+11",
GROUPEMENT KHALIL ET SERVICES,,"N° V 24, HLM HANN MARISTE, Dakar, Sénégal",77 442 13 19,
GROUPOO SARL,,"N° 37, Cité SIPRES Mourtada 2, VDN face CSS, Dakar, 
Sénégal",77 524 91 37,
GRUPO VEPANA,,"Lot n°10, Zone 15, Almadies, Route de l'Aéroport, DAKAR, 
Sénégal",33 820 16 52,
GUEYE SAMBA THIAM,,"Quartier Randoulène Nord, Thiès, Sénégal",,
HAGE CONSTRUCTION,,"Route nationale 1, Carrefour Diamniadio, Dakar, Sénégal",,
HAMD SARL,,"Villa n°128 Cité Darou Salam Keur Massar , PIKINE, 
Sénégal",766393445,
HENAN CHINE SENAGAL SA,,"22, Route de Rufisque, Dakar, Sénégal",33 820 00 26,
HERA GOLD,,,777086852,
HERMANOS GARCIA RUBIO,,"CITE CBAO VILLA N° 104, DAKAR, Sénégal",771077844,
HERMANOS GARCIA RUBIO,,"140 BOULEVARD DRS 54 METRES, LOT N° 281 
SANTHIABA, ZIGUINCHOR, Sénégal",776024014/ 971563115500,
HES,silicium,"Rue Birago DIOP X Rue H, Point E, Imm NA 12, 2e étage, 
DAKAR",33 867 95 90/ 77 186 67 21,ndiaye.lamine@hotmail.com
HKB DEVELOPPEMENT,,"N°4291, Rue 33, Point E, Dakar, Sénégal",771022729,
HM LOGISTIQUE SUARL,,"Mermoz Comico, Dakar",,
"HOLDING ATLANTIC MINING PETROLUM "" MINE 
PETRO-SA""",silicium,"Fann Rue Leo Frobenius x Cheikh Anta Diop Immeuble 
Seydi Djamil, DAKAR, Sénégal",777796666/ 33 869 08 38,
HOLDING KEUR KHADIM,,"Thiaroye, Sénégal",,
HOLDING PRESTIGE GOLD SARL,,"Ouest Foire, à coté Elton, Dakar, Sénégal",78 197 77 77,
HOLDING TOUBA KHELCOM,,"VDN, Coté station Elton, Dakar, Sénégal",338204612/ 776423567,"holdingtoubakhelcom@gmail.co
m"
HORIZON PLUS TECHNOLOGIE,,"n°1358, Sicap Liberté, Dakar, Sénégal",338204612,
HUANG LONG GOLD FIELD SUARL,,"VILLA 5000, SICAP LIBERTE 4, DAKAR, Sénégal",338204612/ 777474717,
HYDROBAT INTERNATIONAL,,"VILLA 154, UNITE 05, , PARCELLES ASSAINIES, Dakar, 
Sénégal",338204612,
HYDROMIN SENEGAL,,"52, Boulevard Martin Luther King, Corniche Ouest, Dakar, 
BP 5048 Fann, Sénégal",338204612/ 33 825 98 16,
IMMO TROPIC SARL,,"9 Rue de Thiong, Ponty, Dakar, Dakar, 23690, Sénégal",33 822 64 23,immotropic2008@yahoo.fr
IMPERIAL COMMODITIES SARL,,"Goumbel, Ziguinchor, Sénégal",776509194/ 774346576,
IMPROVE SENEGAL SAS,or,"Immeuble Uno, Liberté 6 Extension, Dakar, Sénégal",776391226,
INDOSEN SARL,,"Pikine Seras, Cité Lobat Fall, en face EDK OIL, Dakar, 
Sénégal",775426739,
INSTITUT AFRICAIN DE L'ENERGIE,sable de dune,,776394455,
INSTITUT GEOSCIENCES DE DAKAR SARL,"sable de dune Villa n°16, MERMOZ PYROTECHNIE, Dakar, 37002",,33 869 14 50,
INSTITUT ISLAMIQUE DAARA DAROU SALAM GAYE,,"DAROU SALAM GAYE, Mbeuth, Dakar, Dakar, Sénégal",77 426 12 37/ 70 764 68 51,
INTER GLOBAL SERVICES SARL,,,77 284 56 57/ 77 988 47 88,gb00004@hotmail.fr
"INTERNATIONAL COMPANY OF TRADE AND SERVICES 
SA (ICTS)",,"KM 10, BOULEVARD DE LA COMMUNE DU CENTENAIRE, 
DAKAR, BP 20796 THIAROYE, Sénégal",33 853 17 17,icts@ictssenegal.com
INTERNATIONAL DAROU SALAM ENTREPRISE,,"PIKINE ICOTAF VILLA 3182, DAKAR, Sénégal",77 664 48 59,
INTERNATIONAL GOLD ALWAR Sarl,,"09 GOLF NORD OCEAN, STATION 10, GUEDIAWAYE, 
Sénégal",77 114 71 85/ 77 316 13 39,
INTERNATIONAL MINING AND GOLD COMPANY,,"VILLA 9748, SACRE COEUR 3, DAKAR, Sénégal",776116858,
INTERNATIONAL MINING COMPANY,,,,
INTERNATIONAL MINING SERVICES SENEGAL,,"Point E, 453, Rue de Kaolack-B-23, Dakar, Sénégal",338251600,
INTERNATIONAL TRADING COMPANYN (ITC),diamant,"641, CAMBERENE II, DAKAR, Sénégal",77 206 00 96,
INTERPORT BTP SARL,,,776173434,
IRION TRANSFERS SARL,,"Patte d'Oie, Route des Niayes, Dakar, Sénégal",77 586 02 30,
IRIS RESSOURCES,,,30118 05 52,
IRON TRANFERTS SARL,,,33 950 12 20/ 70 845 43 74,irontransferts@gmail.fr
IRONSIDE SENEGAL SARL,,"47 BD REPUBLIQUE, BP 143921, DAKAR, Sénégal",33 821 19 16/ 33 822 46 36,
ISLE WORLDWIDE,silicium,"Hann mariste 2, Espace Résidence Immeuble les Dunes, 
Sénégal",772645091/ 772194528,islelimites@yahoo.com
ISOLUX CORSAN,,Sénégal,339910099,
ITAL-TECH sarl,,Ngor Almadies 1 en face cabane du pêcheur app N° 07,33 860 05 57/ 777192293,"sarl.italtech@gmail.com/pas
cocamara1965@gmail.com"
JAMOMINING SARL,or,"124 BLD GENERAL DEGAULE, Sénégal",77 187 38 77,
JEAN LEFEVRE SENEGAL,,"Rue 3XB , Point E, Dakar, Sénégal",33 865 20 12,jls@talix-group.com
JIWANA RESOURCES PTY. LTD.,"lithium,etain","Level 17, Collins St, Melbourne, VIC 3000, Australie",,61 403 522 378 fatou.gueye1@bigpond.com
JUMELLES GOLD SUARL,,"LOT 76, QUARTIER SAM, KAOLACK, Sénégal",33 941 41 00,
K & K COMPANY,,"DAKAR, Sénégal",,
K INTER,,"N° 402, Unité 13 , parcelles Assainies, Dakar, Sénégal",77 631 60 92,
KACTUS GROUP,,"SAS Villa n°6B Hann Marinas, DAKAR, Sénégal",,776390439 kactusgroupsn@gmail.com
KANE ASSAINISSEMENT DU SENEGAL,,"Sicap Mbao, Lot n°06, Dakar, Sénégal",77 328 63 87,
KANEL RESOURCES SARL,,"Sacre-coeur Pyrotechnie, Cité Keur Gorgui, N°86, 
Immeuble Jojo Fary, Appt 1 A, Dakar , BP 25670 Dakar 
Fann",,
KANSALA RESOURCES,,"56, Cité Comico, Liberté 6 Extension, 33 867 57 86, 
kansala@yahoo.fr, Dakar, Sénégal",,
KEDOUGOU BUSINESS & MINING SERVICES SARL,,"Quartier Dande Mayo, Kédougou, Sénégal",776299871,
KEDSEN LLC (ABDEL AZIZ NIANG),,"VILLA 99, CITE CSE, SUD FOIRE, DAKAR, Sénégal",775931809,
KEUR KHADIM BTP ET SERVICES,,"KEUR MBAYE FALL, QUARTIER KAMB, N°07/B, Dakar, 
Sénégal",77 829 16 08,
KEYSTONE,,"26, cote, ouest, 4e étage, Route des Almadies, Dakar, 
Sénégal",,
KHELCOM'S LION,,"DAKAR, Sénégal",33612436543,
KHOUMA COMPAGNIE,,"Sicap Liberté 3, Rond-Pont Jet d'Eau, Dakar, Sénégal",,
KIMI TRADING SARL,,"VILLA 2266, USINE BENE TALLY,",781166666,
KOCHMAN,,"DAKAR, Sénégal/29, Rue Fleurus X Grasland, Dakar, 
Sénégal / Km 34, Route de Dakar, Thiès, Sénégal",,
L&P HOLDING SARL,"phosphate de 
chaux","5, Avenue Geaorges Pompidou, Immeuble Sokhna Anta, 
Dakar, Sénégal",77 637 09 29,
LA CLE SUARL,,"113, Cité CPI , x VDN, Dakar, Sénégal",771861543/ 775690756,lacledulogement@gmail.com
"LA GENERALE DES MINES ET TRAVAUX PUBLIQUES 
SARL",,"Sotrac Mermoz, Villa n°158, Dakar, Sénégal",77 569 72 58,
LA SOCIETE NIAZA BTP SARL,,"Guédiawaye, quartier Notaire Villa N°430, Dakar",,
LAM GOLD COMPANY,,,,
LAM SUARL,silicium,"3046, Amitié, Dakar",33 824 93 39,
LES CARRIERES CTG SARL,calcaire,"Villa 2b, Almadies, Dakar, Sénégal",338 205 863,
LES CARRIERES DE DAROU,silicium,"Villa n°3, Castor, Route du Front de Terre, Dakar, Sénégal",77 235 09 63,
LES CARRIERES DE DIACK,,"Village de Ndiack, Département Thiès, Route de 
Khombole, Dakar, Sénégal",,
LES GRANDES CARRIERES DU SENEGAL,,"Rocade Fann Bel Air , Cerf Volant, Dakar, Sénégal",,
LES GRANDS TRAVAUX DU SAHEL,silicium,"n°418, Rue NG 75 Ngor, entre la rue NG 134 et la rue NG 
138, Dakar, Sénégal",33 820 29 99,
LES MAMELLES SARL,silicium,"n°6925, 2eme étage , Liberté 6, Immeuble G, Dakar",78 152 36 36,
LES MANGUIERS DE BAMBILOR,,,33 825 70 80,moussasow@hotmail.fr
LES NOUVELLES CARRIERES DU SUD SARL,,"Km 11, Route de Rufisque, BP 8782, Dakar, Sénégal",33 839 83 83,
LES SPECIALISTES DU BATIMENTS & TP,,"Bambilor, Quartier, Ndiassane, Thies, Sénégal",77 375 06 95/ 70 745 80 84,
LIBAH INVESTMENTS LIMITED (DPPM),,"29, cité Asecna-Derklé, Tambacounda, Sénégal",,
LIBIDOR,or,"Bopp, Villa n° &é, Rue 9, Dakar, Sénégal",,
LIMETECH SA,,"POINT E, BOULEVARD DE L'EST, VILLA ANTA BIS, Dakar, 
4580 DAKAR-FANN, Sénégal",,"2,21339E+11 limetechsa@orange.sn"
LIN SHI INTERNATIONAL INVESTMENT SARL,,"149, rue Moussé Diop x Victor Hugo, Dakar, Sénégal",221 338 423 388,
LITON GROUP LTD SARL,"sable de dune 13-15, Rue Colbert, X Félix Faure, Dakar, Sénégal",,77 450 45 22,
LOGICOM,,"Villa n°122 B, Liberté 6 Extension, Sénégal",33 867 40 97/,
"LOGISTIQUE, CARRIERES, MINES ET SERVICES 
(LOCMIS) SARL",,"Rue 9 x 11, Point E, Dakar, Sénégal",77 853 76 86/ 77 647 44 30,
LOWRE INDUSTRIES,calcaire,"15403, Sénégal",338258283,
LUCKY OCEAN INTERNATIONAL TRADING SUARL,,"7e étage, Immeuble n°34/36, Boulevard de la République, 
Dakar, Sénégal",338223231,
LYONS FIELD SUARL,manganèse,,770845575,
MADISEN GOLD SARL,,"Lot 57, Résidence Moustapha, Cité Keur Gorgui, Sénégal",771435769,
MADISSIMO,,"Dakar, Sénégal",,
MAGAL GUI CARREAUX Suarl,marbre,,,
MAILLAT,,"Dakar, Sénégal",,
MAKHTAR NIANG,,"QUARTIER KASNACK LOT 372, KAOLACK, Sénégal/ BOPP 
n°169, Rue 7, Dakar, Sénégal",776408839 / 775446167,
MAKO EXPLORATION COMPANY SA,,"8, Route du Méridien Président,, Dakar, Sénégal",33 868 30 57,
MALICK MAGLOIRE LOGBO,laterite,,77 561 28 71/ 76 529 44 96,
MAMADOU SYLLA,,"Dindefélo, KEDOUGOU",77 534 72 13,
MANDINGA RESOURCES SARL,"substances 
connexes, 
uranium","N°4296, RUE PE33, POINT E, DAKAR, BP:10601 Dakar - 
Liberté, Sénégal",33 860 64 32,
MANDINGOLD SA,,"SACREE COEUR 3 X LIBERTE 6, 2 ETAGE, DAKAR, Sénégal",783706537,
MANSOUR YAYOU MANSOUR,,"320, Cité Taco, Rufisque, Dakar, Sénégal",77 353 95 73,
MARSAL TRANSPORT ET LOGISTIC,granite,"28 Boulevard de l'Est, Point E, DAKAR, Les Iles Vierges 
Britaniques",77657 53 40,mountaha20@gmail.com
MASSAWA JERSEY LIMITED,or,"3rd floor Unity Chambers , 28 Halkett Street , St helier 
,Royaume Uni, Angleterre",338491780/ 338491784,
MASSAWA SA,or,67 Av. André Peytavin Dakar/Sénégal BP 887,338491780/ 338494922,
MATLOGEC,,,,
MAURIGOLD LTD,,"6 Streatham Crescent Bryanaton, Randburg, Afrique du 
Sud",,
MAXAJARA INVEST,phosphate,"223 liberté 6 extension, DAKAR, Sénégal",,776382467 maxajara@hotmail.com
MAYA GOLD SUARL,,"Villa n°2266, Usine Bene Tally, Dakar, Sénégal",773699996/ 781166666,
MBAPAMA B.T.P SARL,,"9568, Sacré Coeur 3, Dakar, Sénégal",33 821 12 72,
MBF PROPERTIES SA,calcaire,"7, Rue Félix Faure, Dakar, Dakar, Sénégal",221 33 889 92 12,mbfproperties@gmail.com
MBGS-GIE,basalte,"Villa N° 30D BIS, Patte d'Oie Bulders",33 851 70 88/ 77 654 99 04,
MBOUP NDEYE MAGUETTE,sable de dune,,338213680,
MBS BUSINESS SERVICES,calcaire,"Lot n° 12, SODIDA, Dakar, Sénégal",77 233 05 28,
MG TRADE FINANCES INTERNATIONAL,,"Immeuble Sokhna Anta, Av. Georges Pompidou, Dakar, 
Sénégal",,
MIMRAN,,,"2,21338E+11",
MIMRAN NATURAL RESSOURCES (MNR),,"18, BLD de la République, Dakar, Sénégal",338899800,
MINE PETRO SA,,"Rue Léo frobénius x Avenue Cheikh Anta Diop , Immeuble 
Seydi Djamil, Fann Résidence, Dakar, Sénégal",33 869 08 38,
MINEKIP FOURNITURES MINIERES,,"Bâtiment 174, Immeuble Alpha , Parcelles Assainies , 
Dakar, Sénégal",77 968 08 32,minekip@minekip.com
MINERAL MINING ENERGY,,,77 634 47 23,
MINERAL TRADE GROUP,,"Office 402, Reef Tower, Jumeirah Lake Towers, Dubai, 
DUBAI",,
MING SHENG MINING,,,77 327 78 39,
MINING SHENG MINING,,"liberté 6 extension, DAKAR, Sénégal",773277839,
MISON INTERNATIONALE dU COMMERCE (MIC),,"K1, Scat Urbam, Hann Mariste, Dakar, Sénégal",,
MODOU TOURE GENERAL BUSINESS (MTGB) Sarl,,"Villa n°100, Cité Keur Gorgui, DAKAR, Sénégal",77 281 28 87,
MOUHAMED RASSOUL SECK SERVICES,silicium,"n°12, Point E, Arrêt Seydou Nourou Tall , Dakar, Sénégal",33 825 52 91,
MOUNA TRANSPORT,,"Mboro, Darou Salam, Thiès, Sénégal",77 713 07 52,
MOUVEMENT FEDERAL ANSAROUL AHMADIYA,,,77 646 91 00,
MRL INTERNATIONAL INDUSTRIES SARL,grès,"Villa n°5, Sacré Coeur 1, Sicap, Dakar, Sénégal",77 569 87 65,
MRS MINING SENEGAL SARL,,"4, rue Parchappe x Mage Immeuble Diannah, DAKAR, 
Sénégal",338232302,
MS MINES,kao,"Tivaoune, Quartier Dialo, Thiès, Sénégal",77 275 34 96,
MSB BUSINESS SARL,,"Villa 275, Arafat , Rufisque, Dakar, Sénégal",,774590641 contact@msb-business.com
MSF,,"DAKAR, Sénégal",338329210,
MYA TRADING,,"VILLA N°8, OUEST FOIRE ZONE II, DAKAR, Sénégal",77 643 32 51/ 70 789 30 95,
MYSAKA GROUP SAS,,,772317474,
NABADJI MINERALS,"phosphate de 
chaux",,,338 422 054 contact@nabadjiminerals.com
NABOU TRANSPORT,,"Keur Ndiaye LO, Rufisque, Dakar, Sénégal",77 455 27 99,
NAFPEC,,"36, Boulevard de la République, Dakar, Sénégal",,
NATIONAL CONSTRUCTION,,"69, Rue Robert Bourgi X Lamine Gueye, Dakar, Sénégal",338212282/ 776446955,
NDIOBO ADAMA SUARL,,"313, Espace Mamelle, Dakar, Sénégal",77 659 21 08,
NDIOUK,,"Diamaguène, Thiès, Sénégal",,
NDOYE MASYLLA,sable de dune,,766720956,
NEW ENERGY INVESTISMENT SARL,or,"Fann Résidence, Alliance, Rue SM11/SN08, Dakar",784302088,
NEW SENEGAL INVESTMENT SARL,,"Lot 45, 2ème étage, Yoff virage, DAKAR, Sénégal",781033820,
NIANE SERIGNE MBACKE,sable de dune,,768801618,
NIAZA BTP SARL,,,,
NIBODJI-TRADE-CENTER,,,,
NIKANTE MARMI SARL,,"58/A, HLM, FASS PAILLOTTE, Dakar, Sénégal",,776335727 nikantesn@libero.it
NIOKOLO MINE,,"804 NORD FOIRE DIACK SAO, Sénégal",77 724 64 46,khawadiallo90@yahoo.fr
NIOKOLO MINING SARL,,"Quartier Gomba , Kédougou, Sénégal",775257926/ 774832087,
NOUROUL AMINE SARL,,"Mermoz, 2éme porte, Résidence Santhiago app n°2B, 
Dakar, Sénégal",,"seydinaoumarthiaw@yahoo.co
m"
"NOUVELLE SOCIETE DE CONCASSAGE DE BASALTE DE 
LAMANE",,"Rue 9 villa n°280 , Bopp, Dakar, 3101, Sénégal",33 825 75 57,
"NOUVELLE SOCIETE dES MINES ET DES TRAVAUX 
PUBLICS",,"2, Route du Front de Terre, Dakar, Sénégal",,
"NOUVELLES SOCIETE DES MINES ET DES TRAVAUX 
PUBLIQUES",,"DAKAR, 5365, Sénégal",,338698400 stone@orange.sn
ONDA MINE SARL,,,,
ORANTO PETROLEUM LIMITED,,"Lagos, Victoria Island, Plot 8 water corporation way, 
Nigeria",,
ORIENTAL GENIE CIVIL,,"quartier liberte, villa n°96, Tambacounda, Sénégal",775644148,
ORIENTAL TECHNOLOGIES SARL,,,772212828,
ORIGINES SA-2S,,"1, Avenue Abdoulaye FADIGA, en face BCAO siege, Dakar, 
8808, Sénégal",33 822 14 90,
ORING TECHNOLOGIES SARL,silicium,TIVAOUANE,77 646 91 00,oringtechnologie@gmail.com
ORIONGOLD SUARL,,"Quartier Lawol Tamba, à coté du Centre des Services 
Fiscaux, Kédougou, Sénégal",775282832/ 775410354,oriongldsuarl@gmail.com
OROMIN EXPLORATION LTD,,"Suite 2000-1055 West Hastings street Vancouver B.C 
canada",,
OROSEN SARL,,"Rue31x02, Médina, Dakar, Sénégal","2,21779E+11",
OUMY MBAYE,,"Cité Lobatt Fall, VILLA E ALMADIE, DAKAR, Sénégal",775222425,
Ousmane Services Group,,"Cité Millionnaire, derriere marché grand yoff, Dakar, 
Sénégal",33 867 79 37,
OXIM SERVICES,,"286 Djily Mbaye, Yoff, Dakar, Sénégal",,
PALM RESOURCES,or,"11, Impasse Rue des cocotiers km 4.8 Boulevard du 
Centenaire , Dakar",,
Pan African Senegal Limited,,Dakar Senegal,,
Panafricain Minerals Ressources LTD,,"Birmingham B 186 EW, Rayaume Uni",,
PETOWAL MINING COMPANY (PMC) SA,or,"8, Route du Méridien Président,, Dakar, Sénégal",,
PHOSPHATES RESSOURCES SARL,,"Route du Méridien, Almadies, Sénégal",338596080,
PIKINE MINING,,Almadies zone 15,,
PLANETE GOLD AFRICA,,,77 632 61 15,
PLASMA,,,338253045,
PMPS MINING COMPANY SARL,,"Rue 59x70, Fann-Hock, Dakar, Sénégal",77 677 08 86,info@pmpsmining.com
POINT OF VIEW,calcaire,"Immeuble le Sawa, 1er étage, Route de Ouakam, Dakar, 
Sénégal",33 824 68 40,
PRESTACOM SENEGAL SUARL,,"Villa F54 Scat Urbam, Grand Yoff, Dakar, Sénégal",77 943 49 49/ 78 184 82 18,"prestacomsenegalsuarl@gmail.c
om"
PROCHIMAT,"phosphate de 
chaux","Rue Jean Mermoz, Dakar, 17948, Sénégal",,
PRODEMINE LTD,,"8, ROUTE DU MERIDIEN PRESIDENT, ALMADIES, DAKAR, 
11241, Sénégal",,"2,21338E+11 bafatou@wafripro.com"
PROFILEX COMPANY,silicium,"villa n° 5 , Yoff Aéroport, Cité Djily Mbaye, Dakar, Sénégal",33 868 73 73/ 77 577 00 31,
PROMSPEC,,"Sud Foire cité des magistrats villa 99, Dakar, Sénégal",77 510 10 23,contact@prompec.net
PROSPECTIUNI,"or, 
substances 
connexes","Route du Méridein Président contigue à la banque SGBS 
Almadies",,
PRYM'OR,,"RUE 2XF, POINT E , DAKAR, Sénégal",78 177 51 51,
PSS SERVICES,,"Thiès, Quatier Diamaguène, Sénégal",77 568 21 66/ 77 900 45 45,
QINGNING SUARL,,"Rue de Thiès, immeuble Gnagna, 4e étage, Dakar, Sénégal 33 864 51 02",,
RACKY PRESTATIONS TECHNIQUES SARL,,"Sicap Amitie 2, Villa n°4068, Dakar, Sénégal",77 644 96 17/ 77 567 01 17,
RAMATOO,"sable de dune 79, Fass casier, Place de l'ONU, Dakar, Sénégal",,77 785 08 18/ 77 526 44 12,
RAMATOULAYE NDIAYE,"sable de dune ILOT H73, Hann Mariste, Dakar, Sénégal",,,
RAZEL SENEGAL,,Dakar,338491949,
RAZEL SOGEA SATOM,,"SANAR PEUL, SAINT-LOUIS, BP 949, Sénégal",,
REFLEXE CONSTRUCTION,,"Thiaroye, Gare , Dakar, Dakar, Sénégal",77 256 93 74,
